Date,AAPL,CVX,EL,GS,HLI,JNJ,JPM,KO,MCD,META,MRK,PLTR,ULTA,UNH,XOM
2024-04-17,166.33160400390625,142.1558074951172,132.364501953125,385.4722595214844,118.87039947509766,135.6874237060547,172.6407470703125,54.85622024536133,255.84683227539062,490.387939453125,116.65420532226562,21.309999465942383,424.54998779296875,455.9170227050781,110.19658660888672
2024-04-18,165.38111877441406,143.21923828125,138.85610961914062,384.7087097167969,118.4445571899414,136.5965576171875,173.7624053955078,55.23124313354492,256.8230285644531,497.9595031738281,116.52393341064453,21.1299991607666,425.1099853515625,469.4234924316406,110.09441375732422
2024-04-19,163.3614044189453,145.42791748046875,138.47256469726562,385.5581359863281,119.78984832763672,138.63046264648438,178.12445068359375,56.412559509277344,257.78021240234375,477.3882141113281,117.03568267822266,20.469999313354492,413.5,476.99053955078125,111.35772705078125
2024-04-22,164.19305419921875,147.17308044433594,141.3588104248047,398.2987060546875,123.85478210449219,139.76449584960938,181.5853271484375,56.76882553100586,261.1827087402344,478.04315185546875,118.11505126953125,20.969999313354492,417.9800109863281,467.56744384765625,111.98938751220703
2024-04-23,165.24252319335938,148.0183868408203,142.8546905517578,404.6451721191406,125.54850769042969,140.17689514160156,184.20249938964844,56.853206634521484,262.414794921875,492.30316162109375,118.05921936035156,21.639999389648438,419.2699890136719,462.7606506347656,112.42598724365234
2024-04-24,167.34149169921875,148.67282104492188,141.30128479003906,403.72900390625,123.88382720947266,139.21153259277344,185.10369873046875,57.70637512207031,262.2915344238281,489.7230529785156,118.1708755493164,21.59000015258789,410.54998779296875,463.8266906738281,112.44454956054688
2024-04-25,168.2028350830078,150.22706604003906,139.0287322998047,400.87542724609375,122.94500732421875,137.6088104248047,185.38169860839844,57.884521484375,261.2016296386719,438.0019836425781,121.63224792480469,21.709999084472656,408.010009765625,470.07073974609375,112.70465087890625
2024-04-26,167.61871337890625,150.78150939941406,141.38760375976562,408.0522155761719,122.62562561035156,136.97146606445312,185.4967498779297,57.884521484375,258.8227233886719,439.8973693847656,122.07889556884766,22.520000457763672,406.3900146484375,471.48895263671875,109.57422637939453
2024-04-29,171.77696228027344,151.18145751953125,140.7547149658203,411.1443176269531,123.85478210449219,137.6088104248047,185.29542541503906,58.16579055786133,259.2586975097656,429.3090515136719,121.07398223876953,22.829999923706055,410.0400085449219,465.473388671875,111.13478088378906
2024-04-30,168.63845825195312,146.58229064941406,140.67800903320312,407.2314147949219,123.39022064208984,135.51869201660156,183.81906127929688,57.91264343261719,258.7754211425781,426.8777770996094,120.2365493774414,21.969999313354492,404.8399963378906,460.4001159667969,109.86216735839844
